Leaderboard:

     model                          score_test    score_val  eval_metric      pred_time_test    pred_time_val      fit_time    pred_time_test_marginal    pred_time_val_marginal    fit_time_marginal    stack_level  can_infer      fit_order
---  ---------------------------  ------------  -----------  -------------  ----------------  ---------------  ------------  -------------------------  ------------------------  -------------------  -------------  -----------  -----------
  0  KNeighborsDist_BAG_L1        -5.96047e-07   -1.90661    log_loss             0.016588         0.0180171     0.00338888                 0.016588                  0.0180171            0.00338888              1  True                   2
  1  WeightedEnsemble_L2          -0.00102468    -0.0404998  log_loss             0.234286         0.0917244     9.32781                    0.00393295                0.00163412           0.764837                2  True                  91
  2  LightGBM_r188_BAG_L2         -0.0385257     -0.19602    log_loss            19.3467           3.65437     226.259                      0.0577962                 0.0112557            3.10692                 2  True                 111
  3  LightGBM_r196_BAG_L2         -0.0430855     -0.183856   log_loss            19.4921           3.65966     231.301                      0.20317                   0.0165474            8.1485                  2  True                 125
  4  NeuralNetTorch_r86_BAG_L1    -0.0457897     -0.0730388  log_loss             0.057296         0.0299647     4.96278                    0.057296                  0.0299647            4.96278                 1  True                  27
  5  LightGBM_r121_BAG_L2         -0.0740629     -0.133733   log_loss            19.3853           3.65727     226.782                      0.0963292                 0.0141649            3.63003                 2  True                 160
  6  NeuralNetTorch_BAG_L1        -0.082753      -0.129461   log_loss             0.0505362        0.0238056     8.90578                    0.0505362                 0.0238056            8.90578                 1  True                  11
  7  NeuralNetTorch_r30_BAG_L1    -0.0906933     -0.0453763  log_loss             0.0858309        0.0306771     2.9643                     0.0858309                 0.0306771            2.9643                  1  True                  25
  8  NeuralNetTorch_r31_BAG_L1    -0.0913877     -0.105341   log_loss             0.0456011        0.0290792     1.69145                    0.0456011                 0.0290792            1.69145                 1  True                  53
  9  NeuralNetTorch_r41_BAG_L1    -0.0991731     -0.155902   log_loss             0.0600939        0.0334857     3.20088                    0.0600939                 0.0334857            3.20088                 1  True                  39
 10  NeuralNetTorch_r76_BAG_L1    -0.101683      -0.146173   log_loss             0.0428672        0.023505      1.43965                    0.0428672                 0.023505             1.43965                 1  True                  73
 11  NeuralNetTorch_r135_BAG_L1   -0.102127      -0.0472311  log_loss             0.0585959        0.0260298     2.62829                    0.0585959                 0.0260298            2.62829                 1  True                  79
