"L","W","Ap","Sept","label"
65.9,5.21,0.33,7,"del1_7"
56.4,5.25,0.38,7,"del1_7"
62.2,5.35,0.22,7,"del1_7"
57.2,5.37,0.24,7,"del1_7"
59.5,5.46,0.37,7,"del1_7"
58,5.42,0.29,7,"del1_7"
51.1,5.3,0.3,7,"del1_7"
67.6,5.25,0.38,7,"del8"
44.8,5.25,0.42,7,"del9_16"
54.6,5,0.3,7,"del9_16"
50.5,5.28,0.32,7,"del9_16"
54.4,4.89,0.32,7,"del9_16"
48.6,5.17,0.3,7,"del9_16"
53.9,3.82,0.2,7,"acutior"
59.2,3.37,0.18,7,"acutior"
50.2,3.56,0.23,7,"acutior"
48.7,3.6,0.17,7,"acutior"
53.6,3.36,0.2,7,"acutior"
48.8,3.23,0.18,7,"acutior"
36.6,4.28,0.4,3,"interfixa"
49.9,4.66,0.5,7,"teretiuscula"
58.7,4.75,0.29,7,"del9_16"
60.8,4.96,0.27,7,"del9_16"
52.8,4.94,0.32,7,"del9_16"
57.1,4.66,0.39,7,"del9_16"
