Gen	theta_1ABCDEF	theta_2GHIJKLM	theta_3NOPRTUV	theta_8ABCDEFNOPRTUVSXZGHIJKLMY	theta_9ABCDEFNOPRTUVSXZ	theta_10NOPRTUVSXZ	theta_11NOPRTUVS	theta_12XZ	theta_13GHIJKLMY	tau_8ABCDEFNOPRTUVSXZGHIJKLMY	tau_9ABCDEFNOPRTUVSXZ	tau_10NOPRTUVSXZ	tau_11NOPRTUVS	tau_12XZ	tau_13GHIJKLMY	lnL
100	0.001676	0.001296	0.010266	0.007667	0.001780	0.002881	0.001196	0.006774	0.003086	0.008971	0.008781	0.005837	0.003763	0.003311	0.006767	-4693.898
200	0.001104	0.001134	0.014120	0.003746	0.002190	0.001861	0.002160	0.003811	0.010531	0.008633	0.008395	0.004398	0.002304	0.003154	0.007699	-4708.265
300	0.001851	0.001442	0.005514	0.005245	0.000938	0.002937	0.001442	0.002250	0.009041	0.006981	0.006751	0.004616	0.002670	0.003060	0.006239	-4696.148
400	0.001784	0.001713	0.007154	0.002817	0.001686	0.002556	0.000920	0.002393	0.013875	0.008744	0.008674	0.005516	0.002921	0.004284	0.008484	-4703.579
500	0.000819	0.001555	0.004464	0.005696	0.003154	0.001848	0.001875	0.003055	0.017471	0.006757	0.006237	0.004482	0.002951	0.000417	0.005164	-4695.069
600	0.001570	0.001492	0.004753	0.004484	0.004681	0.001403	0.003484	0.001129	0.012140	0.007311	0.006379	0.006040	0.003104	0.001332	0.005321	-4694.987
700	0.002452	0.001144	0.009002	0.006198	0.002389	0.004138	0.001113	0.004124	0.003951	0.009060	0.008502	0.006909	0.003471	0.005220	0.007374	-4704.470
800	0.000897	0.001043	0.003555	0.003030	0.008629	0.002210	0.002455	0.001403	0.002903	0.009443	0.008834	0.007120	0.004124	0.003432	0.007760	-4703.351
900	0.002144	0.001043	0.006564	0.006682	0.001874	0.001882	0.000870	0.002411	0.003252	0.007708	0.006919	0.006527	0.004871	0.004131	0.006273	-4685.963
1000	0.000974	0.001943	0.007125	0.003979	0.003957	0.000963	0.001147	0.001116	0.001850	0.007378	0.006451	0.006046	0.004659	0.002902	0.004708	-4702.257
1100	0.001060	0.002935	0.005182	0.005233	0.010548	0.003044	0.002718	0.001824	0.002131	0.010315	0.009549	0.005877	0.003003	0.002919	0.006122	-4695.028
1200	0.000798	0.000878	0.003134	0.006553	0.007146	0.002301	0.003991	0.005456	0.005500	0.007094	0.005062	0.004935	0.002641	0.002991	0.000739	-4693.600
1300	0.000977	0.001233	0.005886	0.007532	0.009558	0.002795	0.001763	0.002954	0.002846	0.006601	0.005497	0.005299	0.004455	0.000745	0.004842	-4692.292
1400	0.001329	0.001028	0.006821	0.003445	0.006740	0.002696	0.002560	0.001824	0.028625	0.009281	0.008481	0.006527	0.004126	0.004688	0.009128	-4693.833
1500	0.001431	0.001350	0.004092	0.008629	0.007862	0.001125	0.001344	0.004331	0.027591	0.008156	0.007168	0.005737	0.002891	0.003108	0.005983	-4703.043
1600	0.001030	0.002332	0.007403	0.010099	0.002475	0.004034	0.001748	0.001991	0.003395	0.007592	0.006246	0.005953	0.004432	0.004343	0.007145	-4698.502
1700	0.002273	0.000499	0.008320	0.006251	0.010005	0.002410	0.001705	0.002121	0.001235	0.008204	0.008133	0.006943	0.003715	0.003422	0.007163	-4699.316
1800	0.002510	0.000551	0.008510	0.003174	0.005231	0.003906	0.001372	0.001821	0.002230	0.008854	0.007758	0.007537	0.005076	0.004935	0.007683	-4691.591
1900	0.002623	0.001080	0.007603	0.002060	0.001406	0.003899	0.002845	0.002118	0.001412	0.009243	0.008195	0.004148	0.002660	0.003410	0.007110	-4692.370
2000	0.000966	0.001176	0.005985	0.004566	0.001533	0.001931	0.000652	0.002143	0.001929	0.008911	0.008230	0.005768	0.004959	0.002090	0.007792	-4694.473
2100	0.001097	0.001436	0.018665	0.003006	0.001403	0.001260	0.002027	0.001508	0.004250	0.008695	0.008422	0.007817	0.002414	0.003974	0.006610	-4697.034
2200	0.001165	0.001210	0.010314	0.002667	0.005263	0.004087	0.001778	0.002153	0.009339	0.008527	0.007978	0.006836	0.005504	0.005987	0.003657	-4693.888
2300	0.001280	0.001256	0.008743	0.004176	0.001910	0.002395	0.001868	0.001773	0.001890	0.008577	0.007363	0.005016	0.004358	0.001374	0.006451	-4697.528
2400	0.001297	0.001640	0.007197	0.004399	0.001773	0.003177	0.001680	0.004324	0.002486	0.008796	0.008612	0.004479	0.002530	0.000915	0.006944	-4699.138
2500	0.001349	0.001185	0.009930	0.003239	0.003921	0.002241	0.002007	0.001506	0.001852	0.008536	0.008083	0.004749	0.002802	0.003143	0.006939	-4697.841
2600	0.000910	0.001945	0.005931	0.002882	0.002741	0.003845	0.004414	0.004764	0.001762	0.009946	0.008982	0.006174	0.003669	0.004780	0.007935	-4699.489
2700	0.001291	0.001149	0.003217	0.004868	0.006501	0.002106	0.001831	0.002291	0.003229	0.009016	0.008767	0.004995	0.003319	0.004910	0.001391	-4708.776
2800	0.001174	0.001291	0.009210	0.008659	0.008534	0.003258	0.004417	0.001410	0.002507	0.010046	0.009058	0.007563	0.004511	0.005633	0.006096	-4693.993
2900	0.001469	0.002453	0.005075	0.001875	0.002918	0.002653	0.001471	0.003895	0.000783	0.011535	0.009482	0.007545	0.004012	0.003772	0.011501	-4703.415
3000	0.000778	0.001266	0.008206	0.006071	0.002166	0.002588	0.001446	0.003049	0.002105	0.008271	0.007831	0.005694	0.003011	0.003369	0.007752	-4696.390
