Specimen	L	W	Ap	Species	
Du_Rietz_725d_L-124898	66.00	5.50	0.375	delicatula	
Du_Rietz_725d_L-124898	66.00	5.50	0.375	delicatula	
Du_Rietz_725d_L-124898	67.00	5.00	0.350	delicatula	
Du_Rietz_725d_L-124898	53.50	5.50	0.400	delicatula	
Du_Rietz_725d_L-124898	54.00	5.50	0.400	delicatula	
Du_Rietz_725d_L-124898	76.00	5.00	0.425	delicatula	
Du_Rietz_725d_L-124898	79.00	4.50	0.375	delicatula	
Du_Rietz_725d_L-124898			0.300	delicatula	
Du_Rietz_725d_L-124898			0.175	delicatula	
Du_Rietz_725d_L-124898			0.300	delicatula	
Du_Rietz_725d_L-124898			0.300	delicatula	
Du_Rietz_725d_L-124898			0.325	delicatula	
Du_Rietz_725d_L-124898			0.225	delicatula	
Du_Rietz_725d_L-124898			0.225	delicatula	
Du_Rietz_725d_L-124898			0.350	delicatula	
Du_Rietz_725d_L-124898			0.375	delicatula	
Du_Rietz_725d_L-124898			0.300	delicatula	
Du_Rietz_725d_L-124898			0.350	delicatula	
Du_Rietz_725d_L-124898			0.325	delicatula	
Du_Rietz_725d_L-124898			0.500	delicatula	
Du_Rietz_725d_L-124898			0.200	delicatula	
Nordin_7191	64.00	5.00	0.475	delicatula	
Nordin_7191	52.00	6.00	0.375	delicatula	
Nordin_7191	50.00	5.00	0.275	delicatula	
Nordin_7191	60.00	6.00		delicatula	
Nordin_7191	54.00	5.00		delicatula	
Nordin_7191	51.00	5.00		delicatula	
Nordin_7191	57.00	5.00		delicatula	
Nordin_7191	63.00	5.00		delicatula	
Thor_10264	52.00	7.00	0.200	delicatula	
Thor_10264	53.00	4.00	0.200	delicatula	
Thor_10264	47.00	6.00	0.250	delicatula	
Thor_10264	60.00	7.00		delicatula	
Thor_10264	52.00	6.00		delicatula	
Thor_10264	44.00	6.00		delicatula	
Thor_10264	64.00	4.00		delicatula	
Thor_10264	58.00	4.50		delicatula	
Thor_10264	72.00	5.50		delicatula	
Thor_10264	77.00	5.50		delicatula	
Thor_10264	72.00	5.00		delicatula	
Thor_10264	81.00	4.50		delicatula	
Thor_10264	76.00	4.50		delicatula	
Westberg_P108	45.00	4.00	0.250	delicatula	
Westberg_P108	58.00	5.00	0.250	delicatula	
Westberg_P108	63.00	5.00	0.250	delicatula	
Westberg_P108	57.00	5.00	0.225	delicatula	
Westberg_P108	60.00	6.00		delicatula	
Westberg_P108	50.00	5.50		delicatula	
Westberg_P108	43.00	6.00		delicatula	
Westberg_P108	45.00	6.00		delicatula	
Westberg_P108	53.00	6.00		delicatula	
Westberg_P108	63.00	5.50		delicatula	
Westberg_P108	61.00	5.00		delicatula	
Westberg_P108	72.00	5.50		delicatula	
Westberg_P108	61.50	5.50		delicatula	
Westberg_P108	51.00	6.00		delicatula	
Westberg_P108	53.50	6.00		delicatula	
Westberg_P108	56.00	5.00		delicatula	
Westberg_P108	67.00	5.00		delicatula	
Westberg_P108	59.00	5.50		delicatula	
Westberg_P108	53.00	5.50		delicatula	
Westberg_P108	55.00	5.00		delicatula	
Westberg_P108	64.00	5.00		delicatula	
Westberg_P108	71.00	5.50		delicatula	
Westberg_P108	54.00	5.00		delicatula	
Westberg_PAD262	55.00	5.50	0.375	delicatula	
Westberg_PAD262	58.00	5.00	0.375	delicatula	
Westberg_PAD262	62.00	5.50	0.375	delicatula	
Westberg_PAD262	58.00	5.00	0.350	delicatula	
Westberg_PAD262	58.50	6.00	0.200	delicatula	
Westberg_PAD262	62.00	5.50	0.325	delicatula	
Westberg_PAD262	61.00	5.00	0.425	delicatula	
Westberg_PAD262	74.00	5.00	0.375	delicatula	
Westberg_PAD262	49.00	5.00	0.250	delicatula	
Westberg_PAD262	61.00	6.00	0.375	delicatula	
Westberg_PAD262	54.00	6.00	0.350	delicatula	
Westberg_PAD262	61.00	6.00	0.175	delicatula	
Westberg_PAD262			0.450	delicatula	
Westberg_PAD262			0.400	delicatula	
Westberg_PAD262			0.550	delicatula	
